zcta5,puma12,pop10,afact
11798,3313,15254,0.994
11801,3203,39553,1
11803,3203,28127,1
11804,3203,5010,1
11901,3305,27172,1
11930,3305,1343,1
11931,3305,151,1
11932,3305,1398,1
11933,3305,5692,0.832
11933,3306,1152,0.168
11934,3306,7263,1
11935,3305,3304,1
11937,3305,15398,1
11939,3305,926,1
11940,3306,5210,1
11941,3305,1072,0.54
11941,3306,914,0.46
11942,3305,4603,1
11944,3305,4299,1
11946,3305,14068,1
11947,3305,416,1
11948,3305,1123,1
11949,3305,219,0.015
11949,3306,14354,0.985
11950,3306,16268,1
11951,3306,13680,1
11952,3305,4637,1
11953,3304,18,0.001
11953,3306,11648,0.859
11953,3307,1887,0.139
11954,3305,3326,1
11955,3306,3285,1
11956,3305,349,1
11957,3305,743,1
11958,3305,635,1
11959,3305,939,1
11960,3305,1084,1
11961,3304,9166,0.714
11961,3306,3668,0.286
11962,3305,494,1
11963,3305,6622,1
11964,3305,1858,1
11965,3305,534,1
11967,3306,26583,1
11968,3305,11593,1
11970,3305,522,1
11971,3305,5818,1
11972,3305,1321,1
11973,3306,9,1
11975,3305,408,1
11976,3305,1565,1
11977,3305,2467,1
11978,3305,3255,1
11980,3306,4990,1
12007,2002,60,1
12008,1700,497,1
12009,2002,7164,1
12010,1600,27828,0.962
12010,1700,413,0.014
12010,1802,696,0.024
12015,2100,3010,1
12017,2100,435,1
12018,1900,7930,1
12019,1700,762,0.052
12019,1801,8441,0.573
12019,1802,5537,0.376
12020,1801,16972,0.544
12020,1802,14220,0.456
12022,1900,929,1
12023,403,382,0.174
12023,2002,1814,0.826
12024,2100,31,1
12025,1600,4964,0.902
12025,1802,541,0.098
12027,1700,683,0.176
12027,1802,3199,0.824
12028,300,378,0.323
12028,1900,794,0.677
12029,2100,1113,1
12031,403,175,1
12032,200,9,0.011
12032,1600,827,0.989
12033,1900,7851,1
12035,403,802,1
12036,403,228,1
12037,2100,4015,1
12040,1900,113,1
12041,2002,481,1
12042,2100,271,1
12043,403,8509,1
12045,2002,584,1
12046,2002,788,0.965
12046,2100,29,0.035
12047,2002,19664,1
12051,2100,7070,1
12052,1900,1568,1
12053,403,515,0.112
12053,1600,55,0.012
12053,1700,3560,0.776
12053,2002,457,0.1
